Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
1690,Exit Long,Close,2025-02-11 19:30,2637.9,5,-105.95,-0.8,17656.63,-0.01,328.32,2.47,173.58,1.31
1689,Exit Short,SL,2025-02-10 01:30,2641.49,5,-261.62,-2.02,17762.58,-0.03,57.16,0.44,260.29,2.01
1688,Exit Long,SL,2025-02-09 16:30,2612.58,5,-269.24,-2.02,18024.2,-0.03,34.77,0.26,267.93,2.01
1687,Exit Short,Close,2025-02-09 06:45,2665.9,5,60.28,0.45,18293.44,0.01,587.71,4.39,123.89,0.92
1686,Exit Long,SL,2025-02-07 18:00,2725.82,5,-280.9,-2.02,18233.16,-0.03,0.0,0.0,279.54,2.01
1685,Exit Short,Close,2025-02-07 17:15,2781.45,5,-24.53,-0.18,18514.06,0.0,634.11,4.57,105.44,0.76
1684,Exit Long,SL,2025-02-06 15:00,2772.33,5,-285.7,-2.02,18538.59,-0.03,141.19,1.0,284.31,2.01
1683,Exit Long,SL,2025-02-05 18:45,2742.6,5,-282.67,-2.02,18824.29,-0.03,145.6,1.04,281.3,2.01
1682,Exit Short,SL,2025-02-05 01:30,2718.81,5,-269.24,-2.02,19106.96,-0.03,49.72,0.37,267.88,2.01
1681,Exit Long,SL,2025-02-04 22:30,2788.3,5,-287.37,-2.02,19376.21,-0.03,40.78,0.29,285.97,2.01
1680,Exit Short,SL,2025-02-04 13:30,2767.36,5,-274.09,-2.02,19663.57,-0.03,187.69,1.38,272.71,2.01
1679,Exit Long,Close,2025-02-04 10:30,2713.09,5,126.25,0.94,19937.66,0.01,1158.86,8.62,131.74,0.98
1678,Exit Short,TP,2025-02-03 04:30,2674.92,5,1483.28,9.98,19811.41,0.15,1484.61,9.99,90.74,0.61
1677,Exit Short,TP,2025-02-02 20:15,2977.49,5,1651.06,9.98,18328.14,0.16,1652.55,9.99,114.1,0.69
1676,Exit Long,Close,2025-02-01 00:00,3308.33,5,526.19,3.29,16677.08,0.05,1168.15,7.29,128.8,0.8
1675,Exit Long,SL,2025-01-29 15:45,3091.93,5,-318.67,-2.02,16150.89,-0.03,0.92,0.01,317.13,2.01
1674,Exit Short,SL,2025-01-29 06:45,3132.4,5,-310.2,-2.02,16469.56,-0.03,163.36,1.06,308.64,2.01
1673,Exit Long,SL,2025-01-28 23:15,3108.26,5,-320.34,-2.02,16779.76,-0.03,249.81,1.58,318.79,2.01
1672,Exit Short,Close,2025-01-28 01:30,3171.7,5,628.47,3.81,17100.1,0.06,1387.7,8.41,54.2,0.33
1671,Exit Long,Close,2025-01-27 00:45,3298.04,5,-221.82,-1.33,16471.64,-0.02,104.63,0.63,312.42,1.87
1670,Exit Short,Close,2025-01-25 18:45,3341.74,5,-168.93,-1.02,16693.46,-0.02,208.8,1.26,202.75,1.23
1669,Exit Long,Close,2025-01-25 02:15,3308.62,5,-43.61,-0.26,16862.38,0.0,564.89,3.41,215.36,1.3
1668,Exit Short,Close,2025-01-24 01:30,3316.68,5,-246.19,-1.51,16905.99,-0.02,453.87,2.78,323.08,1.98
1667,Exit Long,SL,2025-01-22 10:30,3286.61,5,-338.72,-2.02,17152.19,-0.03,59.72,0.36,337.08,2.01
1666,Exit Short,SL,2025-01-21 12:45,3289.11,5,-325.76,-2.02,17490.91,-0.03,70.99,0.44,324.11,2.01
1665,Exit Long,SL,2025-01-20 15:00,3305.06,5,-340.64,-2.02,17816.66,-0.03,95.71,0.57,338.99,2.01
1664,Exit Short,SL,2025-01-20 05:15,3257.28,5,-322.58,-2.02,18157.3,-0.03,259.2,1.62,320.95,2.01
1663,Exit Long,SL,2025-01-20 00:00,3312.59,5,-341.4,-2.02,18479.88,-0.03,346.16,2.05,339.74,2.01
1662,Exit Short,Close,2025-01-19 17:15,3380.2,5,-94.87,-0.56,18821.27,-0.01,1159.67,6.9,173.78,1.03
1661,Exit Long,Close,2025-01-18 06:45,3361.9,5,-200.53,-1.18,18916.14,-0.02,615.9,3.62,258.35,1.52
1660,Exit Short,SL,2025-01-17 04:30,3387.06,5,-335.45,-2.02,19116.68,-0.03,286.24,1.72,333.76,2.01
1659,Exit Long,SL,2025-01-16 06:00,3364.07,5,-346.7,-2.02,19452.13,-0.03,129.58,0.75,345.02,2.01
1658,Exit Long,TP,2025-01-15 23:15,3465.81,5,1572.09,9.98,19798.83,0.15,1573.82,9.99,103.43,0.66
1657,Exit Short,Close,2025-01-14 03:45,3150.73,5,251.27,1.57,18226.74,0.02,1506.5,9.41,38.45,0.24
1656,Exit Long,SL,2025-01-13 07:30,3221.76,5,-332.05,-2.02,17975.46,-0.03,252.36,1.54,330.44,2.01
1655,Exit Short,Close,2025-01-12 20:15,3287.52,5,-286.76,-1.77,18307.52,-0.03,0.0,0.0,322.07,1.99
1654,Exit Long,SL,2025-01-12 12:00,3232.31,5,-333.12,-2.02,18594.28,-0.03,103.45,0.63,331.5,2.01
1653,Exit Short,Close,2025-01-11 23:15,3298.28,5,-298.02,-1.84,18927.39,-0.03,108.23,0.67,303.67,1.87
1652,Exit Long,SL,2025-01-10 16:30,3234.32,5,-333.32,-2.02,19225.41,-0.03,96.7,0.59,331.7,2.01
1651,Exit Short,SL,2025-01-10 05:15,3258.12,5,-322.68,-2.02,19558.73,-0.03,38.15,0.24,321.05,2.01
1650,Exit Short,SL,2025-01-09 18:45,3314.63,5,-328.28,-2.02,19881.4,-0.03,33.78,0.21,326.62,2.01
1649,Exit Short,SL,2025-01-08 21:00,3327.36,5,-329.54,-2.02,20209.69,-0.03,16.87,0.1,327.88,2.01
1648,Exit Short,TP,2025-01-08 19:30,3270.37,5,1813.45,9.98,20539.23,0.18,1815.08,9.99,57.57,0.32
1647,Exit Long,SL,2025-01-06 20:15,3657.25,5,-376.89,-2.02,18725.78,-0.04,60.08,0.32,375.07,2.01
1646,Exit Long,TP,2025-01-06 18:45,3730.79,5,1692.29,9.98,19102.68,0.17,1694.15,9.99,80.6,0.48
1645,Exit Short,Close,2025-01-02 03:45,3391.62,5,-172.92,-1.03,17410.39,-0.02,223.77,1.33,238.13,1.42
1644,Exit Long,Close,2024-12-31 21:45,3357.71,5,-169.07,-1.0,17583.31,-0.02,304.05,1.79,314.6,1.86
