Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
1690,Exit Long,Close,2025-02-11 19:30,2637.90,5,-105.95,-0.80,17656.63,-0.01,328.32,2.47,173.58,1.31
1690,Entry Long,Buy,2025-02-10 18:45,2658.56,5,-105.95,-0.80,17656.63,-0.01,328.32,2.47,173.58,1.31
1689,Exit Short,SL,2025-02-10 01:30,2641.49,5,-261.62,-2.02,17762.58,-0.03,57.16,0.44,260.29,2.01
1689,Entry Short,Sell,2025-02-10 00:45,2589.69,5,-261.62,-2.02,17762.58,-0.03,57.16,0.44,260.29,2.01
1688,Exit Long,SL,2025-02-09 16:30,2612.58,5,-269.24,-2.02,18024.20,-0.03,34.77,0.26,267.93,2.01
1688,Entry Long,Buy,2025-02-09 06:45,2665.90,5,-269.24,-2.02,18024.20,-0.03,34.77,0.26,267.93,2.01
1687,Exit Short,Close,2025-02-09 06:45,2665.90,5,60.28,0.45,18293.44,0.01,587.71,4.39,123.89,0.92
1687,Entry Short,Sell,2025-02-07 20:15,2678.49,5,60.28,0.45,18293.44,0.01,587.71,4.39,123.89,0.92
1686,Exit Long,SL,2025-02-07 18:00,2725.82,5,-280.90,-2.02,18233.16,-0.03,0,0.00,279.54,2.01
1686,Entry Long,Buy,2025-02-07 17:15,2781.45,5,-280.90,-2.02,18233.16,-0.03,0,0.00,279.54,2.01
1685,Exit Short,Close,2025-02-07 17:15,2781.45,5,-24.53,-0.18,18514.06,0.00,634.11,4.57,105.44,0.76
1685,Entry Short,Sell,2025-02-06 15:45,2777.10,5,-24.53,-0.18,18514.06,0.00,634.11,4.57,105.44,0.76
1684,Exit Long,SL,2025-02-06 15:00,2772.33,5,-285.70,-2.02,18538.59,-0.03,141.19,1.00,284.31,2.01
1684,Entry Long,Buy,2025-02-06 06:45,2828.91,5,-285.70,-2.02,18538.59,-0.03,141.19,1.00,284.31,2.01
1683,Exit Long,SL,2025-02-05 18:45,2742.60,5,-282.67,-2.02,18824.29,-0.03,145.60,1.04,281.30,2.01
1683,Entry Long,Buy,2025-02-05 14:15,2798.58,5,-282.67,-2.02,18824.29,-0.03,145.60,1.04,281.30,2.01
1682,Exit Short,SL,2025-02-05 01:30,2718.81,5,-269.24,-2.02,19106.96,-0.03,49.72,0.37,267.88,2.01
1682,Entry Short,Sell,2025-02-05 00:45,2665.50,5,-269.24,-2.02,19106.96,-0.03,49.72,0.37,267.88,2.01
