symbol,option_type,bought_price,sl,tp,delta,premium,strike_price,status,mark_prices,rule_id,current_time
SPY   240603C00526000,call,1.78,1.6728140463034709,1.9943719073930584,0.701256,1.79,526.0,failed,"[1.78, 1.415, 1.245, 1.075, 1.035, 0.985, 0.925, 0.815, 0.555, 0.375, 0.325, 0.415, 0.345, 0.325, 0.285, 0.185, 0.305, 0.345, 0.595, 0.615, 0.665, 0.485, 0.475, 0.645, 0.355, 0.615, 0.505, 0.455, 0.745, 0.575, 0.375, 0.615, 0.485, 0.525, 0.775, 0.685, 0.695, 0.415, 0.56]",0,"['526.4142409349857', '06/03/2024 07:51:35 AM', '06/03/2024 08:22:51 AM', '06/03/2024 08:33:25 AM', '06/03/2024 06:40:39 AM', '06/03/2024 06:48:50 AM', '06/03/2024 06:58:39 AM', '06/03/2024 07:07:07 AM', '06/03/2024 07:15:39 AM', '06/03/2024 07:23:50 AM', '06/03/2024 07:31:59 AM', '06/03/2024 07:40:07 AM', '06/03/2024 07:48:21 AM', '06/03/2024 07:56:24 AM', '06/03/2024 08:04:34 AM', '06/03/2024 08:11:49 AM', '06/03/2024 08:18:37 AM', '06/03/2024 08:25:47 AM', '06/03/2024 08:32:33 AM', '06/03/2024 08:39:36 AM', '06/03/2024 08:47:04 AM', '06/03/2024 08:54:09 AM', '06/03/2024 09:01:17 AM', '06/03/2024 09:08:22 AM', '06/03/2024 09:15:12 AM', '06/03/2024 09:22:06 AM', '06/03/2024 09:28:58 AM', '06/03/2024 09:35:46 AM', '06/03/2024 09:42:32 AM', '06/03/2024 09:49:11 AM', '06/03/2024 09:55:40 AM', '06/03/2024 10:02:10 AM', '06/03/2024 10:08:39 AM', '06/03/2024 10:15:07 AM', '06/03/2024 10:21:35 AM', '06/03/2024 10:28:03 AM', '06/03/2024 10:34:32 AM', '06/03/2024 10:41:02 AM--FAILed--FAILed--FAILed--FAILed', '06/03/2024 10:47:29 AM']"
SPY   240606C00534000,call,1.335,1.1832991673111255,1.6384016653777485,0.623232,1.35,534.0,failed,"[1.335, 1.305, 1.225, 1.035, 0.965, 0.915, 0.935, 0.905, 0.895, 0.875, 0.715, 0.685, 0.665, 0.615, 0.575, 0.575, 0.535, 0.655, 0.595, 0.645, 0.685, 0.805, 0.805, 0.785, 0.645, 0.835, 0.615, 0.325, 0.335, 0.485, 0.425, 0.495, 0.505, 0.575, 0.845, 0.72, 0.74, 0.535, 0.58, 0.51, 0.645, 0.445, 0.53, 0.555, 0.385, 0.41]",0,"['533.743342100079', '06/06/2024 07:57:51 AM', '06/06/2024 08:04:28 AM', '06/06/2024 08:30:42 AM', '06/06/2024 08:37:14 AM', '06/06/2024 06:43:43 AM', '06/06/2024 06:50:18 AM', '06/06/2024 06:56:52 AM', '06/06/2024 07:03:25 AM', '06/06/2024 07:09:58 AM', '06/06/2024 07:16:34 AM', '06/06/2024 07:23:10 AM', '06/06/2024 07:29:41 AM', '06/06/2024 07:36:13 AM', '06/06/2024 07:42:45 AM', '06/06/2024 07:49:20 AM', '06/06/2024 07:55:56 AM', '06/06/2024 08:02:29 AM', '06/06/2024 08:09:02 AM', '06/06/2024 08:15:35 AM', '06/06/2024 08:22:06 AM', '06/06/2024 08:28:38 AM', '06/06/2024 08:35:11 AM', '06/06/2024 08:41:43 AM', '06/06/2024 08:49:29 AM', '06/06/2024 08:56:02 AM', '06/06/2024 09:02:36 AM', '06/06/2024 09:09:09 AM', '06/06/2024 09:15:43 AM', '06/06/2024 09:22:17 AM', '06/06/2024 09:28:50 AM', '06/06/2024 09:35:30 AM', '06/06/2024 09:42:05 AM', '06/06/2024 09:48:39 AM', '06/06/2024 09:55:14 AM', '06/06/2024 10:01:48 AM', '06/06/2024 10:08:21 AM', '06/06/2024 10:14:56 AM', '06/06/2024 10:21:26 AM', '06/06/2024 10:28:00 AM', '06/06/2024 10:34:34 AM', '06/06/2024 10:41:05 AM', '06/06/2024 10:47:38 AM', '06/06/2024 10:54:10 AM', '06/06/2024 11:00:44 AM--FAILed--FAILed--FAILed--FAILed', '06/06/2024 11:07:20 AM']"
SPY   240604C00526000,call,1.5,1.3976726966056674,1.7046546067886652,0.752502,1.52,526.0,successful,"[1.5, 1.78, 1.675, 1.57, 1.345, 2.0, 2.315, 2.28, 2.13, 2.42, 2.16, 2.16, 2.16, 2.16, 2.16, 2.16]",0,"['527.6364632435768', '06/04/2024 10:17:18 AM', '06/04/2024 10:23:57 AM', '06/04/2024 10:30:32 AM', '06/04/2024 10:37:12 AM', '06/04/2024 10:43:52 AM', '06/04/2024 10:50:33 AM', '06/04/2024 10:57:13 AM', '06/04/2024 11:03:58 AM', '06/04/2024 11:10:39 AM', '06/04/2024 11:17:24 AM', '06/04/2024 11:24:10 AM', '06/04/2024 11:30:54 AM', '06/04/2024 11:37:50 AM', '06/04/2024 11:45:06 AM--SUCCESSFUL--SUCCESSFUL--SUCCESSFUL--SUCCESSFUL', '06/04/2024 11:51:52 AM']"
SPY   240603C00527000,call,1.165,1.0578140463034709,1.3793719073930584,0.564609,1.17,527.0,failed,"[1.165, 0.785, 0.765, 0.725, 0.725, 0.555, 0.495, 0.525, 0.285, 0.215, 0.185, 0.205, 0.185, 0.165, 0.155, 0.125, 0.135, 0.185, 0.255, 0.305, 0.335, 0.245, 0.205, 0.245, 0.175, 0.185, 0.235, 0.205, 0.355, 0.245, 0.145, 0.165, 0.165, 0.205, 0.215, 0.285, 0.175, 0.095, 0.115]",0,"['526.4142409349857', '06/03/2024 07:50:12 AM', '06/03/2024 08:20:42 AM', '06/03/2024 08:31:16 AM', '06/03/2024 06:39:19 AM', '06/03/2024 06:46:41 AM', '06/03/2024 06:56:28 AM', '06/03/2024 07:04:55 AM', '06/03/2024 07:14:04 AM', '06/03/2024 07:22:13 AM', '06/03/2024 07:30:20 AM', '06/03/2024 07:38:27 AM', '06/03/2024 07:46:41 AM', '06/03/2024 07:54:45 AM', '06/03/2024 08:02:54 AM', '06/03/2024 08:10:30 AM', '06/03/2024 08:17:06 AM', '06/03/2024 08:24:06 AM', '06/03/2024 08:31:13 AM', '06/03/2024 08:38:09 AM', '06/03/2024 08:45:38 AM', '06/03/2024 08:52:43 AM', '06/03/2024 08:59:49 AM', '06/03/2024 09:06:56 AM', '06/03/2024 09:13:50 AM', '06/03/2024 09:20:42 AM', '06/03/2024 09:27:34 AM', '06/03/2024 09:34:26 AM', '06/03/2024 09:41:12 AM', '06/03/2024 09:47:51 AM', '06/03/2024 09:54:22 AM', '06/03/2024 10:00:51 AM', '06/03/2024 10:07:20 AM', '06/03/2024 10:13:49 AM', '06/03/2024 10:20:17 AM', '06/03/2024 10:26:45 AM', '06/03/2024 10:33:14 AM--SL', '06/03/2024 10:39:42 AM--FAILed--FAILed--FAILed', '06/03/2024 10:46:11 AM']"
SPY   240604C00527000,call,0.815,0.7126726966056673,1.0196546067886652,0.561833,0.82,527.0,successful,"[0.815, 0.95, 0.88, 0.82, 0.635, 1.13, 1.32, 1.3, 1.15, 1.44, 1.395, 1.395, 1.395, 1.395, 1.395, 1.395]",0,"['527.6364632435768', '06/04/2024 10:17:22 AM', '06/04/2024 10:24:01 AM', '06/04/2024 10:30:36 AM', '06/04/2024 10:37:16 AM', '06/04/2024 10:43:56 AM', '06/04/2024 10:50:37 AM', '06/04/2024 10:57:17 AM', '06/04/2024 11:04:02 AM', '06/04/2024 11:10:43 AM', '06/04/2024 11:17:28 AM', '06/04/2024 11:24:14 AM', '06/04/2024 11:30:58 AM', '06/04/2024 11:37:54 AM', '06/04/2024 11:45:10 AM--SUCCESSFUL--SUCCESSFUL--SUCCESSFUL--SUCCESSFUL', '06/04/2024 11:51:57 AM']"
SPY   240725C00541000,call,0.87,0.6800328859995045,1.249934228000991,0.495977,0.88,541.0,failed,"[0.87, 0.785, 1.09, 1.96, 2.3, 1.03, 0.5, 0.225, 0.005, 0.005]",0,"['543.1262072239846', '07/25/2024 12:11:27 PM', '07/25/2024 12:18:26 PM', '07/25/2024 12:25:23 PM--TP', '07/25/2024 12:32:21 PM', '07/25/2024 12:39:20 PM', '07/25/2024 12:46:17 PM', '07/25/2024 12:53:11 PM--SL', '07/25/2024 01:00:06 PMsl--FAILed--FAILed', '07/25/2024 01:07:01 PM']"
SPY   240725C00540000,call,1.565,1.3750328859995045,1.944934228000991,0.68559,1.58,540.0,failed,"[1.565, 1.425, 1.875, 2.87, 3.22, 1.655, 1.025, 0.46, 0.025, 0.005]",0,"['543.1262072239846', '07/25/2024 12:12:02 PM', '07/25/2024 12:19:02 PM', '07/25/2024 12:25:59 PM', '07/25/2024 12:32:57 PM', '07/25/2024 12:39:56 PM', '07/25/2024 12:46:53 PM', '07/25/2024 12:53:47 PM--SL', '07/25/2024 01:00:42 PMsl--FAILed--FAILed--FAILed', '07/25/2024 01:07:38 PM']"
SPY   240724C00544000,call,1.455,1.3328427737284176,1.699314452543165,0.594247,1.46,544.0,failed,"[1.455, 1.135, 1.085, 1.15, 1.065, 1.45, 1.5, 0.965, 1.37, 0.995, 0.915, 0.78, 0.825, 0.735, 0.545, 0.575, 0.505, 0.285, 0.195, 0.275, 0.175, 0.165, 0.135, 0.165, 0.105, 0.205, 0.075, 0.025]",0,"['545.4871498185197', '07/24/2024 09:28:58 AM', '07/24/2024 09:39:25 AM', '07/24/2024 09:50:11 AM', '07/24/2024 10:00:57 AM', '07/24/2024 10:11:16 AM', '07/24/2024 10:21:26 AM', '07/24/2024 10:31:31 AM', '07/24/2024 10:42:58 AM', '07/24/2024 10:49:47 AM', '07/24/2024 10:56:34 AM', '07/24/2024 11:03:26 AM', '07/24/2024 11:10:24 AM', '07/24/2024 11:17:10 AM', '07/24/2024 11:24:01 AM', '07/24/2024 11:30:50 AM', '07/24/2024 11:37:38 AM', '07/24/2024 11:44:25 AM', '07/24/2024 11:51:10 AM', '07/24/2024 11:57:52 AM', '07/24/2024 12:04:38 PM', '07/24/2024 12:11:27 PM', '07/24/2024 12:18:16 PM', '07/24/2024 12:25:01 PM--SL', '07/24/2024 12:31:47 PM', '07/24/2024 12:38:37 PMsl', '07/24/2024 12:45:24 PMsl--FAILed--FAILed', '07/24/2024 12:52:18 PM']"
SPY   240614C00542000,call,1.725,1.5682096989589298,2.0385806020821406,0.494333,1.73,542.0,failed,"[1.725, 1.175, 1.325, 1.305, 1.115, 1.425, 1.415, 1.385, 1.365, 1.055, 1.185, 1.085, 0.965, 0.975, 1.06, 0.955, 1.185, 1.34, 1.335, 1.285, 1.305, 1.405, 1.215, 1.435, 1.425, 1.355, 1.245, 1.565, 1.435, 1.525, 1.555, 1.435, 1.575, 1.635, 1.62, 1.84, 1.725, 1.81, 1.76, 1.605, 1.785, 1.74, 1.71, 1.505, 0.495, 0.405, 0.405, 0.375, 0.355, 0.405, 0.385, 0.455, 0.575, 0.535, 0.555, 0.555, 0.675, 0.625, 0.535, 0.435, 0.345, 0.315, 0.365, 0.445, 0.505, 0.455, 0.495, 0.505, 0.655, 0.615, 0.485, 0.545, 0.465, 0.405, 0.385, 0.465, 0.515, 0.565, 0.525, 0.625, 0.535, 0.605, 0.665, 0.635, 0.745, 0.735, 0.835, 0.745, 0.745, 0.715, 0.755, 0.785, 0.805, 0.795, 0.615, 0.695, 0.605, 0.665, 0.535, 0.445, 0.515, 0.555, 0.445, 0.405, 0.415, 0.455, 0.675, 0.525, 0.505, 0.475, 0.415, 0.385, 0.445, 0.455, 0.635, 0.465, 0.565, 0.565, 0.445, 0.515, 0.565, 0.615, 0.465, 0.515, 0.52, 0.355, 0.305, 0.255, 0.445, 0.675]",0,"['542.1694543980718', '06/13/2024 07:34:01 AM', '06/13/2024 07:41:34 AM', '06/13/2024 08:11:45 AM', '06/13/2024 08:19:15 AM', '06/13/2024 06:34:05 AM', '06/13/2024 06:41:28 AM', '06/13/2024 06:48:55 AM', '06/13/2024 06:56:22 AM', '06/13/2024 07:03:43 AM', '06/13/2024 07:11:05 AM', '06/13/2024 07:18:32 AM', '06/13/2024 07:25:39 AM', '06/13/2024 07:32:34 AM', '06/13/2024 07:40:03 AM', '06/13/2024 07:47:27 AM', '06/13/2024 07:54:47 AM', '06/13/2024 08:02:14 AM', '06/13/2024 08:09:30 AM', '06/13/2024 08:16:37 AM', '06/13/2024 08:23:44 AM', '06/13/2024 08:30:55 AM', '06/13/2024 08:37:57 AM', '06/13/2024 08:44:54 AM', '06/13/2024 08:51:43 AM', '06/13/2024 08:58:34 AM', '06/13/2024 09:05:26 AM', '06/13/2024 09:12:16 AM', '06/13/2024 09:19:05 AM', '06/13/2024 09:25:55 AM', '06/13/2024 09:32:43 AM', '06/13/2024 09:39:43 AM', '06/13/2024 09:46:42 AM', '06/13/2024 09:53:39 AM', '06/13/2024 10:00:33 AM', '06/13/2024 10:07:28 AM', '06/13/2024 10:14:25 AM', '06/13/2024 10:21:21 AM', '06/13/2024 10:28:22 AM', '06/13/2024 10:35:19 AM', '06/13/2024 10:42:09 AM', '06/13/2024 10:48:54 AM', '06/13/2024 10:55:38 AM', '06/13/2024 11:02:25 AM', '06/14/2024 07:09:04 AM', '06/14/2024 07:12:47 AM', '06/14/2024 07:33:00 AM', '06/14/2024 07:36:22 AM', '06/14/2024 07:39:44 AM', '06/14/2024 07:43:05 AM', '06/14/2024 07:46:29 AM', '06/14/2024 08:08:57 AM', '06/14/2024 08:12:22 AM', '06/14/2024 08:15:44 AM', '06/14/2024 08:19:08 AM', '06/14/2024 08:22:32 AM', '06/14/2024 06:32:41 AM', '06/14/2024 06:36:03 AM', '06/14/2024 06:39:23 AM', '06/14/2024 08:42:46 AM', '06/14/2024 08:46:08 AM', '06/14/2024 06:49:31 AM', '06/14/2024 06:52:54 AM', '06/14/2024 06:56:19 AM', '06/14/2024 06:59:41 AM', '06/14/2024 07:03:04 AM', '06/14/2024 07:06:28 AM', '06/14/2024 07:09:49 AM', '06/14/2024 07:13:11 AM', '06/14/2024 07:16:33 AM', '06/14/2024 07:19:56 AM', '06/14/2024 07:23:18 AM', '06/14/2024 07:26:41 AM', '06/14/2024 07:30:04 AM', '06/14/2024 07:33:46 AM', '06/14/2024 07:37:11 AM', '06/14/2024 07:40:35 AM', '06/14/2024 07:44:14 AM', '06/14/2024 07:48:25 AM', '06/14/2024 07:52:41 AM', '06/14/2024 07:56:16 AM', '06/14/2024 07:59:42 AM', '06/14/2024 08:03:08 AM', '06/14/2024 08:06:31 AM', '06/14/2024 08:09:57 AM', '06/14/2024 08:13:23 AM', '06/14/2024 08:16:47 AM', '06/14/2024 08:20:11 AM', '06/14/2024 08:23:33 AM', '06/14/2024 08:26:55 AM', '06/14/2024 08:30:20 AM', '06/14/2024 08:33:44 AM', '06/14/2024 08:37:08 AM', '06/14/2024 08:40:35 AM', '06/14/2024 08:43:59 AM', '06/14/2024 08:47:25 AM', '06/14/2024 08:50:50 AM', '06/14/2024 08:54:15 AM', '06/14/2024 08:57:41 AM', '06/14/2024 09:01:09 AM', '06/14/2024 09:04:40 AM', '06/14/2024 09:08:06 AM', '06/14/2024 09:11:33 AM', '06/14/2024 09:15:03 AM', '06/14/2024 09:18:31 AM', '06/14/2024 09:21:54 AM', '06/14/2024 09:25:18 AM', '06/14/2024 09:28:42 AM', '06/14/2024 09:32:04 AM', '06/14/2024 09:35:26 AM', '06/14/2024 09:38:49 AM', '06/14/2024 09:42:30 AM', '06/14/2024 09:46:30 AM', '06/14/2024 09:50:24 AM', '06/14/2024 09:54:33 AM', '06/14/2024 09:58:29 AM', '06/14/2024 10:03:33 AM', '06/14/2024 10:08:39 AM', '06/14/2024 10:13:32 AM', '06/14/2024 10:17:59 AM', '06/14/2024 10:22:17 AM', '06/14/2024 10:26:32 AM', '06/14/2024 10:30:54 AM', '06/14/2024 10:35:00 AM', '06/14/2024 10:39:40 AM', '06/14/2024 10:43:51 AM', '06/14/2024 10:48:54 AM', '06/14/2024 10:54:06 AM', '06/14/2024 10:58:39 AM--FAILed--FAILed--FAILed--FAILed', '06/14/2024 11:03:34 AM']"
SPY   240812C00533000,call,1.745,1.4387015889046166,2.357596822190767,0.497277,1.75,533.0,failed,"[1.745, 1.145, 1.185, 1.365, 1.835, 1.825, 2.195, 2.41, 2.565, 2.61, 2.825, 2.81, 2.85, 2.895, 2.475, 1.435, 1.415, 1.365, 1.665, 2.06, 2.15, 2.05, 1.91, 1.98, 2.03, 1.985, 2.15, 1.81, 1.255, 1.225, 1.125, 1.535, 1.28, 1.43, 1.34, 1.1, 0.765, 0.785, 0.725, 0.915, 0.975, 0.745, 0.675, 0.775, 0.695, 0.805, 0.72, 0.725, 0.535, 0.585, 0.595, 0.285, 0.215, 0.125, 0.48, 0.135]",0,"['532.7577169704035', '08/12/2024 06:49:09 AM', '08/12/2024 06:56:19 AM', '08/12/2024 07:03:32 AM', '08/12/2024 07:10:46 AM', '08/12/2024 07:17:59 AM', '08/12/2024 07:25:05 AM', '08/12/2024 07:32:14 AM', '08/12/2024 07:39:26 AM', '08/12/2024 07:46:34 AM', '08/12/2024 07:53:43 AM', '08/12/2024 08:00:56 AM', '08/12/2024 08:08:06 AM', '08/12/2024 08:15:16 AM', '08/12/2024 08:22:25 AM', '08/12/2024 08:29:28 AM', '08/12/2024 08:36:38 AM', '08/12/2024 08:43:42 AM', '08/12/2024 08:50:39 AM', '08/12/2024 08:57:32 AM', '08/12/2024 09:04:32 AM', '08/12/2024 09:11:28 AM', '08/12/2024 09:18:26 AM', '08/12/2024 09:25:25 AM', '08/12/2024 09:32:27 AM', '08/12/2024 09:39:23 AM', '08/12/2024 09:46:13 AM', '08/12/2024 09:53:02 AM', '08/12/2024 09:59:55 AM', '08/12/2024 10:06:46 AM', '08/12/2024 10:13:35 AM', '08/12/2024 10:20:22 AM', '08/12/2024 10:27:21 AM', '08/12/2024 10:34:16 AM', '08/12/2024 10:41:06 AM', '08/12/2024 10:47:54 AM', '08/12/2024 10:54:43 AM', '08/12/2024 11:01:33 AM', '08/12/2024 11:08:24 AM', '08/12/2024 11:15:18 AM', '08/12/2024 11:22:13 AM', '08/12/2024 11:29:15 AM', '08/12/2024 11:36:15 AM', '08/12/2024 11:43:09 AM', '08/12/2024 11:50:08 AM', '08/12/2024 11:57:06 AM', '08/12/2024 12:04:07 PM', '08/12/2024 12:11:11 PM', '08/12/2024 12:18:13 PM', '08/12/2024 12:25:11 PM', '08/12/2024 12:32:17 PM--SL', '08/12/2024 12:39:22 PMsl', '08/12/2024 12:46:25 PMsl', '08/12/2024 12:53:19 PM', '08/12/2024 01:00:24 PMsl--FAILed', '08/12/2024 01:07:28 PM']"
